"date","open","high","low","close","volume","market_cap"
"2022-09-10","0.0640092062","0.0652410988","0.0634035053","0.0647764650","413101249","8593943122.00"
"2022-09-09","0.0609737105","0.0646218070","0.0609340462","0.0640184311","487988731","8493374188.00"
"2022-09-08","0.0610885482","0.0612926813","0.0599225286","0.0609771610","268099701","8089886557.00"
"2022-09-07","0.0589644000","0.0614503593","0.0579441001","0.0611040801","324781386","8106725009.00"
"2022-09-06","0.0627502039","0.0646417380","0.0586517643","0.0589833142","471485707","7825361373.00"
"2022-09-05","0.0632298540","0.0636401734","0.0612972292","0.0627375356","231918999","8323436799.00"
"2022-09-04","0.0626966090","0.0637139060","0.0620659871","0.0632263329","250044435","8388285912.00"
"2022-09-03","0.0616286760","0.0636006009","0.0613442601","0.0626935918","297123402","8317606742.00"
"2022-09-02","0.0623724380","0.0627121786","0.0609468457","0.0616349995","273453013","8177162497.00"
"2022-09-01","0.0613360088","0.0624790465","0.0601937935","0.0623717638","328765412","8274909580.00"
"2022-08-31","0.0615339661","0.0633329850","0.0610584991","0.0613301041","309748693","8136711789.00"
"2022-08-30","0.0638989294","0.0644081993","0.0605503545","0.0615253661","328934726","8162617342.00"
"2022-08-29","0.0617530320","0.0639823786","0.0612463763","0.0638873414","315005254","8475982410.00"
"2022-08-28","0.0635576928","0.0642681083","0.0617857646","0.0617857646","295086067","8197164608.00"
"2022-08-27","0.0635705204","0.0640654406","0.0626066698","0.0635867381","380887727","8436101141.00"
"2022-08-26","0.0690820294","0.0692964955","0.0632542995","0.0635720963","620512451","8434158604.00"
"2022-08-25","0.0679912165","0.0715790732","0.0679571273","0.0690940188","469798193","9166756287.00"
"2022-08-24","0.0687713327","0.0694148341","0.0672982702","0.0679904968","345474347","9020351173.00"
"2022-08-23","0.0683945567","0.0691685310","0.0672131599","0.0687695546","335476542","9123709368.00"
"2022-08-22","0.0694414301","0.0694886643","0.0656061222","0.0683911813","453413439","9073510290.00"
"2022-08-21","0.0695292113","0.0706462254","0.0678468956","0.0694484644","421455864","9213780847.00"
"2022-08-20","0.0678972702","0.0709614079","0.0678972702","0.0695398747","537299424","9225908326.00"
"2022-08-19","0.0750445671","0.0751833820","0.0675357062","0.0679390569","965543533","9013526603.00"
"2022-08-18","0.0801735267","0.0820873172","0.0749893869","0.0750788865","621394158","9960773256.00"
"2022-08-17","0.0869325225","0.0881125988","0.0799265020","0.0801543251","996272860","10634135573.00"
"2022-08-16","0.0766950630","0.0886391272","0.0763943171","0.0869636513","1947377918","11537534090.00"
"2022-08-15","0.0816976661","0.0818203480","0.0751510484","0.0767199535","855017472","10178494868.00"
"2022-08-14","0.0728560628","0.0840127002","0.0727539915","0.0816871392","1530403447","10837495194.00"
"2022-08-13","0.0723437864","0.0748600223","0.0719508305","0.0728403578","446287445","9663785944.00"
"2022-08-12","0.0709307152","0.0724801695","0.0700268525","0.0723452223","320410367","9598095936.00"
"2022-08-11","0.0712052422","0.0746461172","0.0707267394","0.0709304064","563908591","9410391234.00"
"2022-08-10","0.0691190458","0.0713089894","0.0673886278","0.0711950165","431172729","9445497252.00"
"2022-08-09","0.0700614114","0.0738864374","0.0684624118","0.0691251871","611327141","9170891404.00"
"2022-08-08","0.0689463934","0.0720577374","0.0689225972","0.0700548842","399183407","9294235030.00"
